título,descripción,categoría,subcategoría,edad,edad_min,edad_max,inscripción,requiere_inscripcion,periodicidad,día_días,horario,hora_inicio,hora_fin,fecha,fecha_inicio,fecha_fin,lugar_nombre,lugar_dirección,ciudad,distrito,precio,precio_valor,recomendación,recomendado,url_ampliar_info,tiene_url_info,url_imagen,tiene_url_imagen,url_actividad
Talleres creativos en idioma serbio,"Talleres creativos para niños y niñas de 3 a16 años en idioma serbio (manualidades, bellas artes, ciencia, música, literatura, teatro, baile, cine, cultura).",Cultura y Espectáculos. Educación,Idiomas. Música. Talleres. Teatro Infantil,Talleres creativos para niños y niñas de 3 a16 años en idioma serbio,3,16,No especificada,,,domingo,de 11 a 13 horas,11:00,13:00,Del domingo 22 de septiembre de 2024 al domingo 22 de junio de 2025,22/09/2024,22/06/2025,Biblioteca Pública Municipal Iván de Vargas (Centro),"CALLE SAN JUSTO, 5 28005 MADRID",Madrid,Centro,Gratuito,0.0,Recomendado para niñas y niños,True,No disponible,False,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/Actividades/Actividades_Adultos/Clubes_Lectura/ficheros/SERBIA_260X260.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-creativos-en-idioma-serbio/?vgnextfmt=default&vgnextoid=394cdaa14d721910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Tertulias en Inglés (infantil) Biblioteca Vallecas,Sin descripción,Educación,Idiomas,de 8 a 12 años,8,12,Para participar es necesario realizar inscripción previa a través de este enlace.,True,semanal,miércoles,de 18 a 19:30 horas,18:00,19:30,Del miércoles 25 de septiembre de 2024 al miércoles 11 de junio de 2025,25/09/2024,11/06/2025,Biblioteca Pública Municipal Vallecas (Puente de Vallecas),"CALLE PUERTO DEL MONASTERIO, 1 MADRID",Madrid,Puente de Vallecas,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Tertulias-en-Ingles-infantil-/?vgnextfmt=default&vgnextoid=554c4861ee4e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,No disponible,False,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Tertulias-en-Ingles-infantil-Biblioteca-Vallecas/?vgnextfmt=default&vgnextoid=eec46c112bc41910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Club de lectura (infantil) Biblioteca David Gistau,"Una de nuestras actividades favoritas, dónde la lectura es la protagonista. En estos clubes de lectura un grupo de niñas y niños, leen al mismo tiempo un libro y periódicamente se reúnen para comentarlo y hacer un montón de actividades que hacen la lectura aún más divertida, combinando la lectura personal y la posibilidad de compartir la experiencia con otras personas, sin duda una fantástica manera para que los más pequeños de la casa adquirieran el hábito lector.",Cultura y Espectáculos,Club de lectura,de 9 a 12 años,9,12,Para participar es impresindible realizar inscripción previa en este enlace.,True,quincenal,lunes,de 18 a 19:30 horas,18:00,19:30,Del lunes 30 de septiembre de 2024 al lunes 9 de junio de 2025,30/09/2024,09/06/2025,Biblioteca Pública Municipal David Gistau (Salamanca),"AVENIDA TOREROS, 5 MADRID",Madrid,Salamanca,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-/?vgnextfmt=default&vgnextoid=e1d24ef767ae6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/TalleresAnuales/Talleres2021/Adultos/ficheros/ClubLecturaInf_260x260.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-David-Gistau/?vgnextfmt=default&vgnextoid=0c4bf9ea99e61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (Infantil) Biblioteca Pozo del Tío Raimundo,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",Cultura y Espectáculos,Talleres,de 8 a 11 años,8,11,Para participar es necesario realizar inscripción previa a través de este enlace.,True,quincenal,lunes,de 17:30 a 19 horas,17:30,19:00,Del lunes 30 de septiembre de 2024 al lunes 2 de junio de 2025,30/09/2024,02/06/2025,Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas),"AVENIDA GLORIETAS, 19 MADRID",Madrid,Puente de Vallecas,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-infantil-/?vgnextfmt=default&vgnextoid=5e7a4861ee4e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/ActividadesVirtuales/Talleres_infantiles/TallerComic/ficheros/TallerComic_260x260.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Pozo-del-Tio-Raimundo/?vgnextfmt=default&vgnextoid=fbc06ac373051910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Club de lectura (infantil) Biblioteca San Fermín,"Una de nuestras actividades favoritas, dónde la lectura es la protagonista. En estos clubes de lectura un grupo de niñas y niños, leen al mismo tiempo un libro y periódicamente se reúnen para comentarlo y hacer un montón de actividades que hacen la lectura aún más divertida, combinando la lectura personal y la posibilidad de compartir la experiencia con otras personas, sin duda una fantástica manera para que los más pequeños de la casa adquirieran el hábito lector.",Cultura y Espectáculos,Club de lectura,de 9 a 12 años,9,12,Para participar es impresindible realizar inscripción previa en este enlace.,True,quincenal,miércoles,de 18 a 19:30 horas,18:00,19:30,Del miércoles 2 de octubre de 2024 al miércoles 18 de junio de 2025,02/10/2024,18/06/2025,Biblioteca Pública Municipal San Fermín (Usera),"AVENIDA SAN FERMIN, 10 MADRID",Madrid,Usera,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-/?vgnextfmt=default&vgnextoid=e1d24ef767ae6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/TalleresAnuales/Talleres2021/Adultos/ficheros/ClubLecturaInf_260x260.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-San-Fermin/?vgnextfmt=default&vgnextoid=6304ee4e073b2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de ajedrez avanzado (Infantil-juvenil) Biblioteca Gabriel Gª Márquez,"Taller avanzado para el perfeccionamiento de la práctica del ajedrez, deporte de reconocidos beneficios a nivel cognitivo e intelectual que mejora la memoria, la concentración y permite ejercitar ambos hemisferios cerebrales.",Cultura y Espectáculos,Talleres,de 6 a 17 años,6,17,Para participar es impresindible realizar inscripción previa en este enlace.,True,semanal,miércoles,de 19 a 20 horas,19:00,20:00,Del miércoles 2 de octubre de 2024 al miércoles 11 de junio de 2025,02/10/2024,11/06/2025,Biblioteca Pública Municipal Gabriel García Márquez (Usera),"PLAZA PUEBLO, 2 MADRID",Madrid,Usera,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-ajedrez-infantil-juvenil-/?vgnextfmt=default&vgnextoid=b9624861ee4e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/2018/TalleresAdultos/TalleresCulturales/ficheros/Ajedrez_260x260.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-ajedrez-avanzado-Infantil-juvenil-Biblioteca-Gabriel-G-Marquez/?vgnextfmt=default&vgnextoid=3e7958cef3391910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de juegos (infantil) Biblioteca Francisco Ayala,Reuniones periódicas en las que se descubrirán diferentes juegos.,Cultura y Espectáculos,Talleres,de 6 a 10 años,6,10,Para participar es impresindible realizar inscripción previa en este enlace.,True,mensual,miércoles,de 18 a 19:30 horas,18:00,19:30,Del miércoles 2 de octubre de 2024 al miércoles 28 de mayo de 2025,02/10/2024,28/05/2025,Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),"BULEVAR INDALECIO PRIETO, 21 MADRID",Madrid,Vicálvaro,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-/?vgnextfmt=default&vgnextoid=bb4a80ff165e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/Actividades%20Infantiles%20Juveniles/Talleres/Talleres%20Infantiles/ficheros/260x260%20Tarde%20de%20Juegos.jpg,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-Biblioteca-Francisco-Ayala/?vgnextfmt=default&vgnextoid=3bce32fa46a61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Sociocultural El Greco,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,Educación,Ludotecas,de 5 a 12 años,5,12,Más información sobre inscripciones y actividades consultar en Centro Socio Cultural El Greco,True,,"viernes, sábado",de 17:30 a 20:30 horas,17:30,20:30,Del viernes 4 de octubre de 2024 al sábado 28 de junio de 2025,04/10/2024,28/06/2025,Centro Sociocultural El Greco (Latina),"CALLE EL GRECO, 29 MADRID",Madrid,Latina,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centros-Culturales-distrito-de-Latina/?vgnextfmt=default&vgnextoid=924b00e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,No disponible,False,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-El-Greco/?vgnextfmt=default&vgnextoid=4a5029ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Cultural José Luis Sampedro,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,Educación,Ludotecas,de 5 a 12 años,5,12,Para más información sobre inscripciones y actividades consultar en Centro Cultural Jose Luis Sampedro.,True,,"viernes, sábado",de 17:30 a 20:30 horas,17:30,20:30,Del viernes 4 de octubre de 2024 al sábado 28 de junio de 2025,04/10/2024,28/06/2025,Centro Cultural José Luis Sampedro (Latina),"CALLE CASTROSERNA, 4 MADRID",Madrid,Latina,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centros-Culturales-distrito-de-Latina/?vgnextfmt=default&vgnextoid=924b00e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,No disponible,False,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Jose-Luis-Sampedro/?vgnextfmt=default&vgnextoid=88f129ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Sociocultural Almirante Churruca,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,Educación,Ludotecas,de 5 a 12 años,5,12,Más información sobre inscripciones y actividades consultar en Centro Sociocultural Almirante Churruca.,True,,"viernes, sábado",de 17:30 a 20:30 horas,17:30,20:30,Del viernes 4 de octubre de 2024 al sábado 28 de junio de 2025,04/10/2024,28/06/2025,Centro Sociocultural Almirante Churruca (Latina),"CALLE FUENTE DEL TIRO, 72 MADRID",Madrid,Latina,Gratuito,0.0,Recomendado para niñas y niños,True,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centros-Culturales-distrito-de-Latina/?vgnextfmt=default&vgnextoid=924b00e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,True,No disponible,False,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-Almirante-Churruca/?vgnextfmt=default&vgnextoid=eb0e29ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
